language,abbreviation,book_number,rank
id,Zakharia,38,255
id,Zak,38,9
id,Maleakhi,39,255
id,Mal,39,9
id,Matius,40,255
id,Mat,40,9
id,Markus,41,255
id,Mar,41,9
id,Lukas,42,255
id,Luk,42,9
id,Yohanes,43,255
id,Yoh,43,9
id,Kisah Para Rasul,44,255
id,Kis,44,9
id,Roma,45,255
id,Rom,45,9
id,1 Korintus,46,255
id,1 Kor,46,9
id,2 Korintus,47,255
id,2 Kor,47,9
id,Galatia,48,255
id,Gal,48,9
id,Efesus,49,255
id,Efe,49,9
id,Filipi,50,255
id,Fil,50,9
id,Kolose,51,255
id,Kol,51,9
id,1 Tesalonika,52,255
id,1 Tes,52,9
id,2 Tesalonika,53,255
id,2 Tes,53,9
id,1 Timotius,54,255
id,1 Tim,54,9
id,2 Timotius,55,255
id,2 Tim,55,9
id,Titus,56,255
id,Tit,56,9
id,Filemon,57,255
id,Flm,57,9
id,Ibrani,58,255
id,Ibr,58,9
id,Yakobus,59,255
id,Yak,59,9
id,1 Petrus,60,255
id,1 Pet,60,9
id,2 Petrus,61,255
id,2 Pet,61,9
id,1 Yohanes,62,255
id,1 Yoh,62,9
id,2 Yohanes,63,255
id,2 Yoh,63,9
id,3 Yohanes,64,255
id,3 Yoh,64,9
id,Yudas,65,255
id,Yud,65,9
id,Wahyu,66,255
id,Why,66,9
de,1. Mose,1,255
de,Gen,1,9
de,2. Mose,2,255
de,Ex,2,9
de,3. Mose,3,255
de,Lev,3,9
de,4. Mose,4,255
de,Num,4,9
de,5. Mose,5,255
de,Dt,5,9
de,Josua,6,255
de,Jos,6,9
de,Richter,7,255
de,Ri,7,9
de,Rut,8,255
de,Rut,8,9
de,1. Samuel,9,255
de,1Sam,9,9
de,2. Samuel,10,255
de,2Sam,10,9
de,1. Könige,11,255
de,1Kön,11,9
de,2. Könige,12,255
de,2Kön,12,9
de,1. Chronik,13,255
de,1Chr,13,9
de,2. Chronik,14,255
de,2Chr,14,9
de,Esra,15,255
de,Esr,15,9
de,Nehemia,16,255
de,Neh,16,9
de,Ester,17,255
de,Est,17,9
de,Hiob,18,255
de,Hiob,18,9
de,Psalmen,19,255
de,Ps,19,9
de,Sprüche,20,255
de,Spr,20,9
de,Prediger,21,255
de,Pred,21,9
de,Hohelied,22,255
de,Hl,22,9
de,Jesaja,23,255
de,Jes,23,9
de,Jeremia,24,255
de,Jer,24,9
de,Klagelieder,25,255
de,Kla,25,9
de,Hesekiel,26,255
de,Hes,26,9
de,Daniel,27,255
de,Dan,27,9
de,Hosea,28,255
de,Hos,28,9
de,Joel,29,255
de,Joel,29,9
de,Amos,30,255
de,Am,30,9
de,Obadja,31,255
de,Ob,31,9
de,Jona,32,255
de,Jon,32,9
de,Micha,33,255
de,Mi,33,9
de,Nahum,34,255
de,Nah,34,9
de,Habakuk,35,255
de,Hab,35,9
de,Zefanja,36,255
de,Zef,36,9
de,Haggai,37,255
de,Hag,37,9
de,Sacharja,38,255
de,Sach,38,9
de,Maleachi,39,255
de,Mal,39,9
de,Matthäus,40,255
de,Mt,40,9
de,Markus,41,255
de,Mk,41,9
de,Lukas,42,255
de,Lk,42,9
de,Johannes,43,255
de,Joh,43,9
de,Apostelgeschichte,44,255
de,Apg,44,9
de,Römer,45,255
de,Röm,45,9
de,1. Korinther,46,255
de,1Kor,46,9
de,2. Korinther,47,255
de,2Kor,47,9
de,Galater,48,255
de,Gal,48,9
de,Epheser,49,255
de,Eph,49,9
de,Philipper,50,255
de,Phil,50,9
de,Kolosser,51,255
de,Kol,51,9
de,1. Thessalonicher,52,255
de,1Th,52,9
de,2. Thessalonicher,53,255
de,2Th,53,9
de,1. Timotheus,54,255
de,1Tim,54,9
de,2. Timotheus,55,255
de,2Tim,55,9
de,Titus,56,255
de,Tit,56,9
de,Philemon,57,255
de,Phlm,57,9
de,Hebräer,58,255
de,Hebr,58,9
de,Jakobus,59,255
de,Jak,59,9
de,1. Petrus,60,255
de,1Petr,60,9
de,2. Petrus,61,255
de,2Petr,61,9
de,1. Johannes,62,255
de,1Joh,62,9
de,2. Johannes,63,255
de,2Joh,63,9
de,3. Johannes,64,255
de,3Joh,64,9
de,Judas,65,255
de,Jud,65,9
de,Offenbarung,66,255
de,Offb,66,9
